API Name,Operation Name,API Version,Success Count,Error Count
telkom-addon-minipack,/getchannellist,1.0,2302,0
telkom-addon-minipack,/eligibilitycheck,1.0,23,0
telkom-addon-minipack,/getuseeprofile,1.0,11,0
telkom-addon-minipack,/getnpvrprofile,1.0,1,0
telkom-ibooster-iboosterapi,/ukurindikasimycx,1.0,547,0
telkom-ibooster-iboosterapi,/ibooster/ukur_indikasi,1.0,190,0
telkom-acs-optim,/checkssid,1.0,118,0
telkom-acs-optim,/getneighbor,1.0,108,0
telkom-acs-optim,/changewifipassword,1.0,3,0
telkom-acs-optim,/changessidv2,1.0,1,0
telkom-mysb-apimyebispartner,/submitorderfcc,1.0,34,0
telkom-mysb-apimyebispartner,/dynamicfeasibility2,1.0,30,0
telkom-mysb-apimyebispartner,/loadorderbypartnerid,1.0,27,0
telkom-mysb-apimyebispartner,/getpackage,1.0,24,0
telkom-mysb-apimyebispartner,/registercustomer,1.0,24,0
telkom-mysb-apimyebispartner,/bookingappointment,1.0,22,0
telkom-mysb-apimyebispartner,/listappointment,1.0,22,0
telkom-mysb-apimyebispartner,/mappingaddress,1.0,19,0
telkom-mysb-apimyebispartner,/banklist,1.0,3,0
telkom-mysb-apimyebispartner,/mitraload,1.0,3,0
telkom-mysb-apimyebispartner,/provincelist,1.0,3,0
telkom-mysb-apimyebispartner,/signoutpartner,1.0,2,0
telkom-mysb-apimyebispartner,/citylist,1.0,1,0
telkom-mysb-apimyebispartner,/createotp,1.0,1,0
telkom-mysb-apimyebispartner,/loadpartnerprofil,1.0,1,0
telkom-mysb-apimyebispartner,/resendlinkpaperless,1.0,1,0
telkom-mysb-apimyebispartner,/signinpartner,1.0,1,0
telkom-mysb-apimyebispartner,/signinpartnerotp,1.0,1,0
telkom-mysb-apimyebispartner,/submitforgotpassword,1.0,1,0
telkom-myih-iboosterapi,/ukur_indikasi,1.0,46,0
telkom-myih-iboosterapi,/restartnte,1.0,2,0
telkom-myih-iboosterapi,/ukurclid,1.0,2,0
telkom-mysimetri,/mysimetri/load-plasa,1.0,25,0
telkom-mysimetri,/mysimetri/load-nearest-plasa,1.0,19,0
telkom-wpgen,/wp/{operation},1.0,30,0
telkom-myih-reservev2,/reservev2,1.0,1905,0
telkom-myih-reservev2,/reservev2,1.0,,14
